Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
0.000000,ExampleTwo,Tick,,,,,,0.00,,,0.00,0,0,0.00,0.00,0.00,0,0
0.000000,ExampleOne,Tick,,,,,,0.00,,,0.00,0,0,0.00,0.00,0.00,0,0
0.800000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.800000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
9.350000,ExampleTwo,Insert,1,B,1,3409.00,GFD,0.00,3410.00,3409.00,0.00,0,0,0.00,0.00,0.00,0,0
11.700000,ExampleTwo,Insert,2,S,1,3410.00,GFD,0.00,3410.00,3416.00,0.00,0,0,0.00,0.00,0.00,0,0
11.700000,ExampleTwo,Fill,2,S,-1,3412.00,GFD,0.68,3410.00,3412.00,3411.32,0,-1,-0.68,0.68,0.68,0,1
11.700000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3412.00,1.82,1,-1,-0.18,0.68,0.68,0,1
12.500000,ExampleOne,Insert,1,B,1,3409.00,GFD,0.00,3410.00,3415.00,0.00,0,0,0.00,0.00,0.00,0,0
12.500000,ExampleOne,Insert,2,S,1,3410.00,GFD,0.00,3410.00,3415.00,0.00,0,0,0.00,0.00,0.00,0,0
12.500000,ExampleOne,Fill,2,S,-1,3412.00,GFD,0.68,3410.00,3412.00,3411.32,0,-1,-0.68,0.68,0.68,0,1
12.500000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3412.00,1.82,1,-1,-0.18,0.68,0.68,0,1
12.500000,ExampleTwo,Tick,,,,,,0.00,3410.00,3412.00,1.82,1,-1,-0.18,0.68,0.68,0,1
12.500000,ExampleOne,Tick,,,,,,0.00,3410.00,3412.00,1.82,1,-1,-0.18,0.68,0.68,0,1
